Code,Title,Title_to_merge,Rating
https://www.netflix.com/title/81252029,"""Ala Vaikunthapurramuloo""",ala_vaikunthapurramuloo,null
https://www.netflix.com/title/60022502,"""It Takes Two""",it_takes_two,null
https://www.netflix.com/title/28631029,"""Stuart Little""",stuart_little,67
https://www.netflix.com/title/70019506,"""Hitch""",hitch,68
https://www.netflix.com/title/80153894,"""How to Be a Latin Lover""",how_to_be_a_latin_lover,39
https://www.netflix.com/title/60020813,"""Scary Movie 2""",scary_movie_2,15
https://www.netflix.com/title/834585,"""Outbreak""",outbreak,59
https://www.netflix.com/title/70259801,"""Olympus Has Fallen""",olympus_has_fallen,49
https://www.netflix.com/title/70235384,"""End of Watch""",end_of_watch,85
https://www.netflix.com/title/70118402,"""Salt""",salt,null
https://www.netflix.com/title/70044594,"""Ghost Rider""",ghost_rider,26
https://www.netflix.com/title/70108777,"""Inglourious Basterds""",inglourious_basterds,89
https://www.netflix.com/title/80167481,"""How It Ends""",how_it_ends,17
https://www.netflix.com/title/70101697,"""Ninja Assassin""",ninja_assassin,25
https://www.netflix.com/title/70118799,"""Ip Man""",ip_man,85
https://www.netflix.com/title/70121092,"""Cop Out""",cop_out,18
https://www.netflix.com/title/771476,"""Monty Python and the Holy Grail""",monty_python_and_the_holy_grail,97
https://www.netflix.com/title/80223052,"""Polar""",polar,null
https://www.netflix.com/title/70301367,"""Jupiter Ascending""",jupiter_ascending,27
https://www.netflix.com/title/80222301,"""Samson""",samson,null
https://www.netflix.com/title/81013927,"""The Decline""",the_decline,89
https://www.netflix.com/title/80226923,"""All Day and a Night""",all_day_and_a_night,56
https://www.netflix.com/title/81127902,"""A Fall from Grace""",a_fall_from_grace,20
https://www.netflix.com/title/60026187,"""Above the Rim""",above_the_rim,53
https://www.netflix.com/title/80244311,"""After""",after,null
https://www.netflix.com/title/70230640,"""Django Unchained""",django_unchained,87
https://www.netflix.com/title/80200571,"""The Highwaymen""",the_highwaymen,57
https://www.netflix.com/title/80174451,"""The Two Popes""",the_two_popes,89
https://www.netflix.com/title/81261846,"""18 Presents""",18_presents,null
https://www.netflix.com/title/70137790,"""Burlesque""",burlesque,36
https://www.netflix.com/title/80208802,"""All The Bright Places""",all_the_bright_places,66
https://www.netflix.com/title/60024038,"""Urban Cowboy""",urban_cowboy,67
https://www.netflix.com/title/70141655,"""For Colored Girls""",for_colored_girls,null
https://www.netflix.com/title/80125671,"""Shot Caller""",shot_caller,68
https://www.netflix.com/title/80095953,"""Greater""",greater,67
https://www.netflix.com/title/80182016,"""The King""",the_king,77
https://www.netflix.com/title/80242926,"""The Princess Switch""",the_princess_switch,75
https://www.netflix.com/title/80204923,"""Benji""",benji,86
https://www.netflix.com/title/281550,"""La Bamba""",la_bamba,90
https://www.netflix.com/title/81078909,"""A Champion Heart""",a_champion_heart,null
https://www.netflix.com/title/60023600,"""Road to Perdition""",road_to_perdition,81
https://www.netflix.com/title/81218076,"""Badland""",badland,50
https://www.netflix.com/title/70044599,"""Gridiron Gang""",gridiron_gang,43
https://www.netflix.com/title/11819345,"""Deep Impact""",deep_impact,45
https://www.netflix.com/title/81024260,"""Uncorked""",uncorked,null
https://www.netflix.com/title/81010254,"""Sprinter""",sprinter,73
https://www.netflix.com/title/80199381,"""Hostiles""",hostiles,72
https://www.netflix.com/title/80131616,"""God Bless the Broken Road""",god_bless_the_broken_road,17
https://www.netflix.com/title/80221446,"""Mary Poppins Returns""",mary_poppins_returns,79
https://www.netflix.com/title/26009364,"""Tarzan""",tarzan,89
https://www.netflix.com/title/80192815,"""Barbie Dolphin Magic""",barbie_dolphin_magic,null
https://www.netflix.com/title/60004509,"""Scooby-Doo on Zombie Island""",scooby_doo_on_zombie_island,86
https://www.netflix.com/title/70032593,"""Corpse Bride""",corpse_bride,84
https://www.netflix.com/title/80015342,"""Song of the Sea""",song_of_the_sea,null
https://www.netflix.com/title/81019938,"""Captain Underpants Epic Choice-o-Rama""",captain_underpants_epic_choice_o_rama,null
https://www.netflix.com/title/70236016,"""Radio Rebel""",radio_rebel,null
https://www.netflix.com/title/70103762,"""Imagine That""",imagine_that,null
https://www.netflix.com/title/80204395,"""Hangman""",hangman,null
https://www.netflix.com/title/70123922,"""The Roommate""",the_roommate,4
https://www.netflix.com/title/80064515,"""The Hateful Eight""",the_hateful_eight,75
https://www.netflix.com/title/81076113,"""Mrs. Serial Killer""",mrs._serial_killer,null
https://www.netflix.com/title/70199239,"""Set Up""",set_up,null
https://www.netflix.com/title/80156306,"""The Assignment""",the_assignment,null
https://www.netflix.com/title/80991158,"""Mirage""",mirage,82
https://www.netflix.com/title/70150473,"""Hunt to Kill""",hunt_to_kill,null
https://www.netflix.com/title/80171678,"""Burn Out""",burn_out,null
https://www.netflix.com/title/81053958,"""Backdraft 2""",backdraft_2,null
https://www.netflix.com/title/81000864,"""Abducted in Plain Sight""",abducted_in_plain_sight,77
https://www.netflix.com/title/81102814,"""Earth and Blood""",earth_and_blood,null
https://www.netflix.com/title/60023071,"""Minority Report""",minority_report,90
https://www.netflix.com/title/80093106,"""The Invisible Guest""",the_invisible_guest,67
https://www.netflix.com/title/80231903,"""In the Shadow of the Moon""",in_the_shadow_of_the_moon,95
https://www.netflix.com/title/60031884,"""Once Upon a Time in the West""",once_upon_a_time_in_the_west,95
https://www.netflix.com/title/80108616,"""Hell or High Water""",hell_or_high_water,97
https://www.netflix.com/title/80991316,"""Avengement""",avengement,83
https://www.netflix.com/title/70042690,"""Alpha Dog""",alpha_dog,54
https://www.netflix.com/title/81000511,"""Revenger""",revenger,40
https://www.netflix.com/title/81154455,"""Article 15""",article_15,89
https://www.netflix.com/title/80099089,"""Skiptrace""",skiptrace,38
https://www.netflix.com/title/80201175,"""Mom""",mom,null
https://www.netflix.com/title/80236341,"""Maria""",maria,null
https://www.netflix.com/title/81112446,"""Badla""",badla,57
https://www.netflix.com/title/81122487,"""Becoming""",becoming,null
https://www.netflix.com/title/80237905,"""In the Tall Grass""",in_the_tall_grass,null
https://www.netflix.com/title/80209024,"""A Secret Love""",a_secret_love,100
https://www.netflix.com/title/80223997,"""Fractured""",fractured,61
