Code,Netflix_Tag,Tags
https://www.netflix.com/title/20557937,"""Action Sci-Fi & Fantasy""",actually
https://www.netflix.com/title/70131314,"""Crime Action & Adventure""",espionage
https://www.netflix.com/title/70131314,"""Crime Action & Adventure""",business
https://www.netflix.com/title/70131314,"""Crime Action & Adventure""",built
https://www.netflix.com/title/70131314,"""Crime Action & Adventure""",around
https://www.netflix.com/title/70131314,"""Crime Action & Adventure""",entering
https://www.netflix.com/title/70131314,"""Crime Action & Adventure""",thoughts
https://www.netflix.com/title/70131314,"""Crime Action & Adventure""",.
https://www.netflix.com/title/70131314,"""Crime Action & Adventure""",man
https://www.netflix.com/title/70131314,"""Crime Action & Adventure""",runs
https://www.netflix.com/title/70131314,"""Crime Action & Adventure""",fi
https://www.netflix.com/title/70131314,"""Crime Action & Adventure""",thriller
https://www.netflix.com/title/70131314,"""Crime Action & Adventure""",bending
https://www.netflix.com/title/70131314,"""Crime Action & Adventure""",sci
https://www.netflix.com/title/70131314,"""Crime Action & Adventure""",targets
https://www.netflix.com/title/70131314,"""Crime Action & Adventure""",subconscious
https://www.netflix.com/title/70131314,"""Crime Action & Adventure""",mold
https://www.netflix.com/title/70131314,"""Crime Action & Adventure""",mind
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",stunt
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",cyclist
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",johnny
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",blaze
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",makes
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",loved
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",one
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",.
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",johnny
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",gets
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",soul
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",.
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",years
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",later
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",sinister
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",mephisto
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",save
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",reclaim
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",chance
https://www.netflix.com/title/70044594,"""Blockbuster Sci-Fi & Fantasy""",bargain
https://www.netflix.com/title/70119441,"""Superheroes""",young
https://www.netflix.com/title/70119441,"""Superheroes""",boy
https://www.netflix.com/title/70119441,"""Superheroes""",holds
https://www.netflix.com/title/70119441,"""Superheroes""",restoring
https://www.netflix.com/title/70119441,"""Superheroes""",peace
https://www.netflix.com/title/70119441,"""Superheroes""",.
https://www.netflix.com/title/70119441,"""Superheroes""",fire
https://www.netflix.com/title/70119441,"""Superheroes""",nation
https://www.netflix.com/title/70119441,"""Superheroes""",'
https://www.netflix.com/title/70119441,"""Superheroes""",world
https://www.netflix.com/title/70119441,"""Superheroes""",ravaged
https://www.netflix.com/title/70119441,"""Superheroes""",peaceful
https://www.netflix.com/title/70119441,"""Superheroes""",air
https://www.netflix.com/title/70119441,"""Superheroes""",earth
https://www.netflix.com/title/70119441,"""Superheroes""",nations
https://www.netflix.com/title/70119441,"""Superheroes""",aggression
https://www.netflix.com/title/70119441,"""Superheroes""",toward
https://www.netflix.com/title/70119441,"""Superheroes""",water
https://www.netflix.com/title/70119441,"""Superheroes""",key
https://www.netflix.com/title/70270364,"""International Action & Adventure""",single
https://www.netflix.com/title/70270364,"""International Action & Adventure""",train
https://www.netflix.com/title/70270364,"""International Action & Adventure""",circling
https://www.netflix.com/title/70270364,"""International Action & Adventure""",revolution
https://www.netflix.com/title/70270364,"""International Action & Adventure""",brews
https://www.netflix.com/title/70270364,"""International Action & Adventure""",among
https://www.netflix.com/title/70270364,"""International Action & Adventure""",divided
https://www.netflix.com/title/70270364,"""International Action & Adventure""",cars
https://www.netflix.com/title/70270364,"""International Action & Adventure""",.
https://www.netflix.com/title/70270364,"""International Action & Adventure""",remaining
https://www.netflix.com/title/70270364,"""International Action & Adventure""",inhabitants
https://www.netflix.com/title/70270364,"""International Action & Adventure""",earth
https://www.netflix.com/title/70270364,"""International Action & Adventure""",'
https://www.netflix.com/title/70270364,"""International Action & Adventure""",globe
https://www.netflix.com/title/70270364,"""International Action & Adventure""",confined
https://www.netflix.com/title/70270364,"""International Action & Adventure""",class
https://www.netflix.com/title/80146805,"""Action Thrillers""",six
https://www.netflix.com/title/80146805,"""Action Thrillers""",septuplets
https://www.netflix.com/title/80146805,"""Action Thrillers""",must
https://www.netflix.com/title/80146805,"""Action Thrillers""",avoid
https://www.netflix.com/title/80146805,"""Action Thrillers""",government
https://www.netflix.com/title/80146805,"""Action Thrillers""",detection
https://www.netflix.com/title/80146805,"""Action Thrillers""",missing
https://www.netflix.com/title/80146805,"""Action Thrillers""",sister
https://www.netflix.com/title/80146805,"""Action Thrillers""",.
https://www.netflix.com/title/80146805,"""Action Thrillers""",strict
https://www.netflix.com/title/80146805,"""Action Thrillers""",one
